Ruta,OperadOR,route,ac_type,all_aboard,PASAJEROS A BORDO,crew_aboard,cantidad de fallecidos,passenger_fatalities,crew_fatalities,ground,year,decade
EEUU,Military - U.S. Army,Demonstration,Others,2,1,1,1,1,0,0,1908,1
France,Sin_Dato,Air show,Others,1,0,1,1,0,0,0,1909,1
EEUU,Military - U.S. Navy,Test flight,Others,5,0,5,5,0,5,0,1912,1
Canada,Private,Sin_Dato,Curtiss,1,0,1,1,0,1,0,1913,1
Others,Military - German Navy,Sin_Dato,Others,20,Sin_Dato,Sin_Dato,14,Sin_Dato,Sin_Dato,0,1913,1
Germany,Military - German Navy,Sin_Dato,Others,28,Sin_Dato,Sin_Dato,28,Sin_Dato,Sin_Dato,0,1913,1
Others,Military - German Navy,Sin_Dato,Others,41,0,41,17,0,17,0,1915,1
Germany,Military - German Navy,Sin_Dato,Others,19,Sin_Dato,Sin_Dato,19,Sin_Dato,Sin_Dato,0,1915,1
England,Military - German Navy,Sin_Dato,Others,20,Sin_Dato,Sin_Dato,20,Sin_Dato,Sin_Dato,0,1916,1
Germany,Military - German Army,Sin_Dato,Others,28,Sin_Dato,Sin_Dato,27,Sin_Dato,Sin_Dato,0,1916,1
England,Military - German Navy,Sin_Dato,Others,19,0,19,19,0,19,0,1916,1
England,Military - German Navy,Sin_Dato,Others,22,Sin_Dato,Sin_Dato,22,Sin_Dato,Sin_Dato,0,1916,1
Others,Military - German Army,Sin_Dato,Others,20,Sin_Dato,Sin_Dato,20,Sin_Dato,Sin_Dato,0,1916,1
Others,Military - German Army,Sin_Dato,Others,20,Sin_Dato,Sin_Dato,20,Sin_Dato,Sin_Dato,0,1917,1
Germany,Military - German Navy,Sin_Dato,Others,23,Sin_Dato,Sin_Dato,23,Sin_Dato,Sin_Dato,0,1917,1
Others,Military - German Navy,Sin_Dato,Others,21,Sin_Dato,Sin_Dato,21,Sin_Dato,Sin_Dato,0,1917,1
Others,Military - German Navy,Sin_Dato,Others,24,Sin_Dato,Sin_Dato,24,Sin_Dato,Sin_Dato,0,1917,1
England,Sin_Dato,Sin_Dato,Others,16,Sin_Dato,Sin_Dato,14,Sin_Dato,Sin_Dato,0,1917,1
Others,Military - German Navy,Sin_Dato,Others,18,Sin_Dato,Sin_Dato,18,Sin_Dato,Sin_Dato,0,1917,1
France,Military - German Navy,Sin_Dato,Others,18,Sin_Dato,Sin_Dato,18,Sin_Dato,Sin_Dato,0,1917,1
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1918,2
Others,Military - German Navy,Sin_Dato,Others,19,Sin_Dato,Sin_Dato,19,Sin_Dato,Sin_Dato,0,1918,2
Others,Military - German Navy,Sin_Dato,Others,23,Sin_Dato,Sin_Dato,23,Sin_Dato,Sin_Dato,0,1918,2
Germany,Military - German Navy,Sin_Dato,Others,22,Sin_Dato,Sin_Dato,22,Sin_Dato,Sin_Dato,0,1918,2
Others,Others,Paris - Hounslow,Havilland,1,1,1,1,1,1,0,1919,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1919,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1919,2
EEUU,Others,Shuttle,Others,Sin_Dato,Sin_Dato,Sin_Dato,3,2,1,10,1919,2
Italy,Others,Venice  Taliedo,Others,14,12,2,14,12,2,0,1919,2
England,Aircraft Transport and Travel,Sin_Dato,Havilland,1,0,1,1,0,1,0,1919,2
EEUU,US Aerial Mail Service,Sin_Dato,Curtiss,1,0,1,1,0,1,0,1919,2
Others,Aircraft Transport and Travel,Sin_Dato,Havilland,0,0,1,0,0,0,0,1919,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1919,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1920,2
France,Latecoere Airlines,Sin_Dato,Others,2,1,1,2,1,1,0,1920,2
Others,Latecoere Airlines,Sin_Dato,Breguet 14,2,1,1,2,1,1,0,1920,2
EEUU,US Aerial Mail Service,Sin_Dato,Junkers,2,Sin_Dato,Sin_Dato,2,Sin_Dato,Sin_Dato,0,1920,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1920,2
England,Handley Page Transport,London - Paris,Others,8,6,2,4,2,2,0,1920,2
Others,Aeropostale,Sin_Dato,Breguet 14,1,0,1,1,0,1,0,1920,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1920,2
EEUU,US Aerial Mail Service,Sin_Dato,Junkers,2,0,2,2,0,2,0,1920,2
England,Others,Sin_Dato,Others,1,0,1,1,0,1,0,1920,2
Others,Others,Sin_Dato,Others,1,1,1,1,1,1,0,1920,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1920,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,2,1,1,1,1,0,0,1920,2
EEUU,US Aerial Mail Service,Sin_Dato,Curtiss,2,1,1,1,0,1,0,1920,2
EEUU,US Aerial Mail Service,Sin_Dato,Curtiss,2,1,1,1,0,1,0,1920,2
EEUU,US Aerial Mail Service,Washington - Newark,Havilland,1,0,1,1,0,1,0,1920,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1920,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1920,2
Others,Others,Geraldton - Derby,Others,2,0,2,2,0,2,0,1921,2
France,Others,Warsaw - Prague - Strasbourg - Paris,Potez IX,5,4,1,5,4,1,0,1921,2
France,Aeropostale,Sin_Dato,Breguet 14,2,Sin_Dato,Sin_Dato,2,Sin_Dato,Sin_Dato,0,1921,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1921,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1921,2
England,Others,Sin_Dato,Others,49,0,49,43,0,43,1,1921,2
Others,Military - Royal Australian Air Force,Sin_Dato,Others,2,0,0,2,0,0,0,1921,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1921,2
Others,Aeropostale,Sin_Dato,Breguet 14,2,0,2,2,0,2,0,1921,2
Others,US Aerial Mail Service,Sin_Dato,Junkers,3,0,3,3,0,3,0,1921,2
Others,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1921,2
Others,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1921,2
Others,Grands Express Aeriens,Toulouse - Barcelona - Valencia - Alicante - Malaga - Rabat,Breguet 14,1,0,1,1,0,1,0,1922,2
Others,Grands Express Aeriens,Sin_Dato,Breguet 14,2,1,1,2,1,1,0,1922,2
Italy,Others,Venice - London,Havilland,4,3,1,4,3,1,0,1922,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1922,2
Others,Grands Express Aeriens,Sin_Dato,Breguet 14,3,2,1,3,2,1,0,1922,2
France,Others,Strasbourg - Paris,Others,5,4,1,5,4,1,0,1922,2
China,Sin_Dato,Test,Sin_Dato,17,0,17,17,0,17,0,1922,2
England,Others,Croydon - Paris,Others,3,2,1,3,2,1,0,1922,2
France,Others,Croydon - Le Bourget,Havilland,7,5,2,7,5,2,0,1922,2
Others,Others,Miami - Bimini,Others,6,5,1,5,5,0,0,1922,2
EEUU,Others,Sin_Dato,Others,45,Sin_Dato,Sin_Dato,34,Sin_Dato,Sin_Dato,0,1922,2
France,Handley Page Transport,Sin_Dato,Others,5,4,1,5,4,1,5,1922,2
Germany,Sin_Dato,Hamburg - Berlin,Others,3,2,1,2,1,1,0,1922,2
Russia,Others,Sin_Dato,Junkers,5,2,3,3,1,2,0,1923,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1923,2
England,Others,Croydon - Manchester,Havilland,5,3,2,5,3,2,0,1923,2
Others,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1923,2
Others,Others,Toulon - Algiers,Others,52,Sin_Dato,Sin_Dato,52,Sin_Dato,Sin_Dato,0,1923,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1923,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1923,2
Others,Air Union,Paris - Berck-sur-Mer - Croydon,Others,11,9,2,1,1,0,0,1923,2
France,Others,Paris - London,Farman F-60 Goliath,6,4,2,6,4,2,0,1923,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1923,2
Others,Others,Sin_Dato,Others,2,1,1,2,1,1,0,1923,2
Others,Grands Express Aeriens,Sin_Dato,Breguet 14,1,0,1,1,0,1,0,1923,2
France,Others,Sin_Dato,Others,4,2,2,3,1,2,0,1923,2
England,Imperial Airways,London - Paris,Havilland,8,7,1,8,7,1,0,1924,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1924,2
France,Grands Express Aeriens,Sin_Dato,Breguet 14,1,0,1,1,0,1,0,1924,2
Colombia,SCADTA,Barranquilla - Bogota,Junkers,5,3,2,5,3,2,0,1924,2
Others,KLM Royal Dutch Airlines,"Lympne, England - Rotterdam, The Netherlands",Fokker,3,2,1,3,2,1,0,1924,2
EEUU,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1924,2
Others,US Aerial Mail Service,Sin_Dato,Havilland,1,0,1,1,0,1,0,1924,2
EEUU,Military - U.S. Navy,"Lakehurst, NJ - S.t Louis, MO",Others,43,0,43,14,0,14,0,1925,2
Others,Lignes Aeriennes Latecoere,Sin_Dato,Breguet 14,1,0,1,1,0,1,0,1925,2
EEUU,US Aerial Mail Service,New York - San Francisco,Havilland,1,0,1,1,0,1,0,1925,2
Others,CIDNA,Sin_Dato,Potez IX,1,0,1,1,0,1,0,1925,2
France,Air Union,Sin_Dato,Farman F-60 Goliath,2,Sin_Dato,Sin_Dato,2,Sin_Dato,Sin_Dato,0,1925,2
Others,Grands Express Aeriens,Oran - Alicante,Others,2,0,2,2,0,2,0,1925,2
France,KLM Royal Dutch Airlines,Amsterdam - Paris,Fokker,4,3,1,4,3,1,0,1925,2
Others,Grands Express Aeriens,Alicante - Barcelona - Toulouse,Breguet 14,3,1,2,3,1,2,0,1925,2
Russia,Others,Tiflis - Suchumi,Junkers,5,3,2,5,3,2,0,1925,2
Others,Lignes Aeriennes Latecoere,Toulouse - Barcelona,Breguet 14,1,0,1,1,0,1,0,1925,2
EEUU,Pacific Air Transport,Sin_Dato,Others,1,0,1,1,0,1,0,1926,2
Others,Grands Express Aeriens,Casablanca -Dakar,Breguet 14,3,3,0,3,3,0,0,1926,2
Others,Imperial Airways,Croydon - Paris,Handley Page W-10,12,10,2,0,0,0,0,1926,2
Germany,Deutsche Lufthansa,Sin_Dato,Fokker,4,3,1,4,3,1,0,1926,2
EEUU,Sin_Dato,New York - Paris,Others,5,4,1,2,2,0,0,1926,2
England,Air Union,"Lebourget, France - Croydon, England",Bleriot 155,15,13,2,3,2,1,0,1926,2
Others,Air Union,Paris - London,Bleriot 155,7,5,2,7,5,2,0,1926,2
Others,KLM Royal Dutch Airlines,Amsterdam - Rotterdam - Brussels - Paris,Fokker,2,1,1,2,1,1,0,1926,2
Others,Others,Paris - Prague - Budapest,Others,6,4,2,6,4,2,0,1926,2
Others,Air Union,Paris - Cryodon,Breguet 14,1,0,1,1,0,1,0,1926,2
Germany,Others,Sin_Dato,Junkers,1,0,1,1,0,1,0,1926,2
EEUU,US Aerial Mail Service,Sin_Dato,Curtiss,1,0,1,1,0,1,0,1926,2
Germany,Deutsche Lufthansa,Sin_Dato,Junkers,5,4,1,5,4,1,0,1926,2
Others,Private,Old Orchad Beach - Rome,Fokker,3,1,2,3,1,2,0,1927,2
France,Latecoere Airlines,Test flight,Others,5,0,5,5,0,5,0,1927,2
Others,Aeropostale,Dakar - Casablanca - Alicante - Perpignan - Toulouse,Breguet 14,1,0,1,1,0,1,0,1927,2
EEUU,National Air Transport,Sin_Dato,Douglas,1,0,1,1,0,1,0,1927,2
Others,Aero O-Y,Tallinn - Helsinki,Junkers,6,4,2,6,4,2,0,1927,2
